단1,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,김포시,의왕시
MAE,4.890296936,2.411513805,2.832352877,1.12652564,3.354970217,4.691541672,2.73341918,5.156946182,10.10878754,2.313981771,2.438432693,3.81833601,3.400345325,3.465920448,1.993404627,7.225176334
RMSE,5.880621433,3.589420795,3.904034138,1.372214317,3.706961393,5.754236221,3.741182089,5.74171257,11.43306446,2.825099707,2.678165674,4.493984222,4.018343449,4.567726612,2.675640106,9.155536652
MAPE,0.054522045,0.025147419,0.033486124,0.012478102,0.037677713,0.052926924,0.03284993,0.05475948,0.113872215,0.026494686,0.028860334,0.046103232,0.036744736,0.036656514,0.021161934,0.090890281
R2,0.748463579,0.75268994,0.904591186,0.98142647,0.883033056,0.826515015,0.873492929,0.12985165,-0.044111861,0.942548054,0.956794822,0.889265146,0.804585657,0.823782637,0.887143985,0.599126393
,,,,,,,,,,,,,,,,
양1,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,김포시,의왕시
MAE,4.43718338,2.229583025,2.611303806,2.336038828,4.735860825,6.215045929,1.913336754,5.386347771,6.344835758,1.20788455,5.589602947,5.842870712,2.78660965,4.364320278,2.39853096,2.439903975
RMSE,6.023863792,2.875886679,3.707519531,3.269886017,5.628844261,8.194612503,2.63692975,6.033818722,8.19010067,1.415698171,7.891370773,8.277197838,3.305865526,5.798752308,3.511186123,2.962096214
MAPE,0.049925938,0.024020165,0.030597309,0.025068287,0.054443508,0.07027705,0.021061478,0.057459399,0.069500685,0.013591437,0.065557115,0.066464767,0.030171676,0.048860401,0.02680322,0.028768104
R2,0.7360603,0.84124166,0.913954485,0.894533191,0.73030959,0.648161473,0.937151599,0.039062895,0.464203131,0.985572917,0.624883817,0.624346049,0.867738727,0.716000505,0.805653358,0.958039746
,,,,,,,,,,,,,,,,
단2,평택시,동두천시,이천시,안성시,여주시,포천시,,,,,,,,,,
MAE,7.229584694,3.209331274,0.891585112,4.317180634,1.274533033,0.941865683,,,,,,군1,군2,군3,평균,
RMSE,8.051831245,4.687964439,1.591098189,5.076211929,1.56709671,1.311390042,,,,,RMSE-단,4.72112149,3.714265426,6.661793649,5.032393522,
MAPE,0.082182653,0.032748431,0.008773839,0.046101276,0.012641588,0.009411916,,,,,RMSE-양,4.982726805,3.634192447,5.600066543,4.738995265,
R2,0.244920222,0.454616922,0.879546253,0.612880442,0.61725408,0.911939516,,,,,MAPE-단,0.044039479,0.031976617,0.064952848,0.046989648,
,,,,,,,,,,,MAPE-양,0.042660659,0.033197275,0.050460552,0.042106162,
양2,평택시,동두천시,이천시,안성시,여주시,포천시,,,,,,,,,,
MAE,6.758588791,4.761940002,1.033548355,3.622122049,1.455657005,0.792625189,,,,,,,,,,
RMSE,7.657528877,5.347684383,1.808769464,4.163793087,1.736508012,1.090870857,,,,,,,,,,
MAPE,0.077394664,0.050582439,0.010201717,0.038618863,0.014420775,0.007965194,,,,,,,,,,
R2,0.317062695,0.290316736,0.844334348,0.739538298,0.530027369,0.939065405,,,,,,,,,,
,,,,,,,,,,,,,,,,
단3,의정부시,파주시,광주시,양주시,오산시,화성시,,,,,,,,,,
MAE,1.608980894,3.50906229,6.950869083,1.002536297,13.8327961,8.000404358,,,,,,,,,,
RMSE,1.956870317,3.937689543,7.469589233,1.247889161,15.03458118,10.32414246,,,,,,,,,,
MAPE,0.017718174,0.039414134,0.076542981,0.010815739,0.156025529,0.089200534,,,,,,,,,,
R2,0.95235165,0.757811787,0.199317838,0.979868586,-0.534822061,0.052697826,,,,,,,,,,
,,,,,,,,,,,,,,,,
양3,의정부시,파주시,광주시,양주시,오산시,화성시,,,,,,,,,,
MAE,2.812098265,1.82363987,2.947850227,3.08059907,11.21937943,5.518290043,,,,,,,,,,
RMSE,3.325370789,2.482944965,3.748263597,4.26976347,13.10693169,6.667124748,,,,,,,,,,
MAPE,0.032446891,0.020221006,0.032595474,0.032976538,0.123493679,0.061029725,,,,,,,,,,
R2,0.862404609,0.90370489,0.798383071,0.764316153,-0.166480446,0.604944854,,,,,,,,,,
